Local time,Open,High,Low,Close,Volume
11.08.2009 08:00:00.000 GMT+0800,1.64750,1.65230,1.64310,1.64880,292368.25
12.08.2009 08:00:00.000 GMT+0800,1.64875,1.65600,1.63900,1.65065,288923.3438
13.08.2009 08:00:00.000 GMT+0800,1.65065,1.66635,1.64845,1.65655,223743.4844
14.08.2009 08:00:00.000 GMT+0800,1.65650,1.66075,1.64840,1.65348,197318.2969
15.08.2009 08:00:00.000 GMT+0800,1.65348,1.65348,1.65348,1.65348,0
16.08.2009 08:00:00.000 GMT+0800,1.65375,1.65402,1.64640,1.64655,10865.6396
17.08.2009 08:00:00.000 GMT+0800,1.64660,1.64820,1.62750,1.63515,310523.9063
18.08.2009 08:00:00.000 GMT+0800,1.63515,1.65930,1.63285,1.65875,276580.7188
19.08.2009 08:00:00.000 GMT+0800,1.65875,1.65895,1.63750,1.65555,234607.9063
20.08.2009 08:00:00.000 GMT+0800,1.65550,1.66045,1.64500,1.65040,236931.3281
21.08.2009 08:00:00.000 GMT+0800,1.65040,1.66240,1.64185,1.64934,232188.3438
22.08.2009 08:00:00.000 GMT+0800,1.64934,1.64934,1.64934,1.64934,0
23.08.2009 08:00:00.000 GMT+0800,1.65038,1.65250,1.64831,1.65120,16598.2695
24.08.2009 08:00:00.000 GMT+0800,1.65120,1.65445,1.63915,1.64055,305121.0625
25.08.2009 08:00:00.000 GMT+0800,1.64055,1.64455,1.63085,1.63130,339513.4063
26.08.2009 08:00:00.000 GMT+0800,1.63130,1.63540,1.61590,1.62270,321653.875
27.08.2009 08:00:00.000 GMT+0800,1.62280,1.63045,1.61535,1.62880,299457.5625
28.08.2009 08:00:00.000 GMT+0800,1.62880,1.63815,1.62502,1.62651,290375.4375
29.08.2009 08:00:00.000 GMT+0800,1.62651,1.62651,1.62651,1.62651,0
30.08.2009 08:00:00.000 GMT+0800,1.62660,1.62838,1.62365,1.62665,31404.8008
31.08.2009 08:00:00.000 GMT+0800,1.62665,1.63295,1.61830,1.62840,238870.7656
01.09.2009 08:00:00.000 GMT+0800,1.62840,1.63755,1.61125,1.61250,341383.5938
02.09.2009 08:00:00.000 GMT+0800,1.61250,1.62990,1.61140,1.62800,335154.3125
03.09.2009 08:00:00.000 GMT+0800,1.62800,1.64130,1.62360,1.63240,293638.0938
04.09.2009 08:00:00.000 GMT+0800,1.63235,1.64105,1.62860,1.63860,232237.2656
05.09.2009 08:00:00.000 GMT+0800,1.63860,1.63860,1.63860,1.63860,0
06.09.2009 08:00:00.000 GMT+0800,1.63897,1.64190,1.63755,1.64150,22422.4004
07.09.2009 08:00:00.000 GMT+0800,1.64150,1.64435,1.63250,1.63360,146268.0469
08.09.2009 08:00:00.000 GMT+0800,1.63355,1.65875,1.63215,1.65150,272380.1875
09.09.2009 08:00:00.000 GMT+0800,1.65150,1.65915,1.64550,1.65340,312412.7813
10.09.2009 08:00:00.000 GMT+0800,1.65360,1.66870,1.64805,1.66530,276727.1563
11.09.2009 08:00:00.000 GMT+0800,1.66520,1.67415,1.66440,1.66543,187692.7344
12.09.2009 08:00:00.000 GMT+0800,1.66543,1.66543,1.66543,1.66543,0
13.09.2009 08:00:00.000 GMT+0800,1.66605,1.66939,1.66525,1.66525,14273.7998
