Local time,Open,High,Low,Close,Volume
11.08.2009 08:00:00.000 GMT+0800,1.08840,1.10465,1.08628,1.10000,134139.7031
12.08.2009 08:00:00.000 GMT+0800,1.09995,1.10755,1.08485,1.08940,154347.4375
13.08.2009 08:00:00.000 GMT+0800,1.08940,1.09090,1.07930,1.08735,121656.3516
14.08.2009 08:00:00.000 GMT+0800,1.08735,1.10220,1.08130,1.09793,112288.8203
15.08.2009 08:00:00.000 GMT+0800,1.09793,1.09793,1.09793,1.09793,0
16.08.2009 08:00:00.000 GMT+0800,1.09803,1.10050,1.09767,1.10040,17438.0996
17.08.2009 08:00:00.000 GMT+0800,1.10055,1.11250,1.10039,1.10630,131513.9844
18.08.2009 08:00:00.000 GMT+0800,1.10630,1.11070,1.10015,1.10040,116040.8516
19.08.2009 08:00:00.000 GMT+0800,1.10040,1.11130,1.09350,1.09410,120252.9688
20.08.2009 08:00:00.000 GMT+0800,1.09425,1.09950,1.08635,1.08805,111902.0703
21.08.2009 08:00:00.000 GMT+0800,1.08820,1.09430,1.07615,1.08161,114789.4531
22.08.2009 08:00:00.000 GMT+0800,1.08161,1.08161,1.08161,1.08161,0
23.08.2009 08:00:00.000 GMT+0800,1.08098,1.08179,1.07840,1.08040,21525.5996
24.08.2009 08:00:00.000 GMT+0800,1.08040,1.08245,1.07250,1.07750,131196.1406
25.08.2009 08:00:00.000 GMT+0800,1.07755,1.08755,1.07185,1.08745,145004
26.08.2009 08:00:00.000 GMT+0800,1.08755,1.10000,1.08295,1.09770,133739.2031
27.08.2009 08:00:00.000 GMT+0800,1.09770,1.10205,1.08300,1.08695,164598.0469
28.08.2009 08:00:00.000 GMT+0800,1.08695,1.09360,1.07900,1.09092,157401.4063
29.08.2009 08:00:00.000 GMT+0800,1.09092,1.09092,1.09092,1.09092,0
30.08.2009 08:00:00.000 GMT+0800,1.09157,1.09545,1.08920,1.09160,23070.9004
31.08.2009 08:00:00.000 GMT+0800,1.09155,1.10920,1.09020,1.09400,131058.5781
01.09.2009 08:00:00.000 GMT+0800,1.09400,1.10670,1.08705,1.10380,157703.7188
02.09.2009 08:00:00.000 GMT+0800,1.10380,1.11020,1.10065,1.10445,131802.9219
03.09.2009 08:00:00.000 GMT+0800,1.10445,1.10745,1.09665,1.10245,147879.4531
04.09.2009 08:00:00.000 GMT+0800,1.10245,1.10365,1.08230,1.08599,130490.3828
05.09.2009 08:00:00.000 GMT+0800,1.08599,1.08599,1.08599,1.08599,0
06.09.2009 08:00:00.000 GMT+0800,1.08808,1.08870,1.08329,1.08465,19961.9004
07.09.2009 08:00:00.000 GMT+0800,1.08465,1.08585,1.07400,1.07845,78507.4531
08.09.2009 08:00:00.000 GMT+0800,1.07845,1.08220,1.06740,1.07790,146565.6563
09.09.2009 08:00:00.000 GMT+0800,1.07780,1.08350,1.07450,1.07925,144350.2813
10.09.2009 08:00:00.000 GMT+0800,1.07915,1.08795,1.07675,1.07780,135049.3281
11.09.2009 08:00:00.000 GMT+0800,1.07790,1.07930,1.07150,1.07629,131711.9063
12.09.2009 08:00:00.000 GMT+0800,1.07629,1.07629,1.07629,1.07629,0
13.09.2009 08:00:00.000 GMT+0800,1.07652,1.07960,1.07614,1.07865,25022.5996
14.09.2009 08:00:00.000 GMT+0800,1.07865,1.09265,1.07865,1.08230,124537.1563
15.09.2009 08:00:00.000 GMT+0800,1.08230,1.08705,1.07100,1.07275,128422.5
16.09.2009 08:00:00.000 GMT+0800,1.07275,1.07360,1.06425,1.06680,181144.9375
17.09.2009 08:00:00.000 GMT+0800,1.06685,1.06755,1.05900,1.06580,223320.5156
18.09.2009 08:00:00.000 GMT+0800,1.06580,1.07680,1.06526,1.06880,152652.9063
19.09.2009 08:00:00.000 GMT+0800,1.06880,1.06880,1.06880,1.06880,0
20.09.2009 08:00:00.000 GMT+0800,1.06875,1.07135,1.06820,1.06905,18699.3008
21.09.2009 08:00:00.000 GMT+0800,1.06900,1.08530,1.06745,1.07795,202832.5625
22.09.2009 08:00:00.000 GMT+0800,1.07795,1.07805,1.06595,1.06805,198488.6563
23.09.2009 08:00:00.000 GMT+0800,1.06800,1.07760,1.06588,1.07520,196879.25
24.09.2009 08:00:00.000 GMT+0800,1.07515,1.09475,1.07065,1.09065,231662.0781
25.09.2009 08:00:00.000 GMT+0800,1.09065,1.09825,1.08595,1.09032,222776.4688
26.09.2009 08:00:00.000 GMT+0800,1.09032,1.09032,1.09032,1.09032,0
27.09.2009 08:00:00.000 GMT+0800,1.09095,1.09390,1.08939,1.09325,25262.8008
28.09.2009 08:00:00.000 GMT+0800,1.09315,1.09910,1.08315,1.08535,204746.9688
29.09.2009 08:00:00.000 GMT+0800,1.08550,1.09235,1.07935,1.08395,224497.5938
30.09.2009 08:00:00.000 GMT+0800,1.08395,1.08450,1.06715,1.06850,270159.4063
01.10.2009 08:00:00.000 GMT+0800,1.06860,1.08465,1.06710,1.08450,280998.8125
02.10.2009 08:00:00.000 GMT+0800,1.08445,1.09590,1.07875,1.07905,221773.5156
03.10.2009 08:00:00.000 GMT+0800,1.07905,1.07905,1.07905,1.07905,0
