Local time,Open,High,Low,Close,Volume
18.08.2009 08:00:00.000 GMT+0800,94.470,95.285,94.460,94.870,492292
19.08.2009 08:00:00.000 GMT+0800,94.870,94.880,93.665,94.110,499787.4063
20.08.2009 08:00:00.000 GMT+0800,94.110,94.555,93.860,94.250,425871.5313
21.08.2009 08:00:00.000 GMT+0800,94.250,94.720,93.420,94.416,408455.9063
22.08.2009 08:00:00.000 GMT+0800,94.416,94.416,94.416,94.416,0
23.08.2009 08:00:00.000 GMT+0800,94.355,94.695,94.220,94.575,43364.5
24.08.2009 08:00:00.000 GMT+0800,94.575,95.065,94.355,94.390,535819.6875
25.08.2009 08:00:00.000 GMT+0800,94.390,94.640,93.785,93.935,507452.9375
26.08.2009 08:00:00.000 GMT+0800,93.940,94.570,93.895,94.095,479537.3125
27.08.2009 08:00:00.000 GMT+0800,94.095,94.140,93.205,93.645,573880.0625
28.08.2009 08:00:00.000 GMT+0800,93.645,94.075,93.415,93.586,462753.5
29.08.2009 08:00:00.000 GMT+0800,93.586,93.586,93.586,93.586,0
30.08.2009 08:00:00.000 GMT+0800,93.623,93.627,93.195,93.375,44846.6016
31.08.2009 08:00:00.000 GMT+0800,93.380,93.450,92.540,92.885,434028.0625
01.09.2009 08:00:00.000 GMT+0800,92.885,93.440,92.515,92.700,556855.3125
02.09.2009 08:00:00.000 GMT+0800,92.700,93.055,92.080,92.230,539770.625
03.09.2009 08:00:00.000 GMT+0800,92.230,92.780,91.945,92.700,425222
04.09.2009 08:00:00.000 GMT+0800,92.700,93.245,92.270,93.015,338395.5
05.09.2009 08:00:00.000 GMT+0800,93.015,93.015,93.015,93.015,0
06.09.2009 08:00:00.000 GMT+0800,92.982,93.180,92.888,93.165,46940.3398
07.09.2009 08:00:00.000 GMT+0800,93.165,93.300,92.805,92.930,235815.4688
08.09.2009 08:00:00.000 GMT+0800,92.930,92.990,92.035,92.320,352885.5
09.09.2009 08:00:00.000 GMT+0800,92.320,92.590,91.610,92.150,387381.0313
10.09.2009 08:00:00.000 GMT+0800,92.150,92.260,91.425,91.705,340336.9688
11.09.2009 08:00:00.000 GMT+0800,91.705,91.710,90.210,90.677,380744.9375
12.09.2009 08:00:00.000 GMT+0800,90.677,90.677,90.677,90.677,0
13.09.2009 08:00:00.000 GMT+0800,90.655,90.657,90.182,90.405,38416.8281
14.09.2009 08:00:00.000 GMT+0800,90.410,91.130,90.300,90.870,373980.9063
15.09.2009 08:00:00.000 GMT+0800,90.870,91.640,90.825,90.910,400744.875
16.09.2009 08:00:00.000 GMT+0800,90.910,91.360,90.125,91.035,432186.1875
17.09.2009 08:00:00.000 GMT+0800,91.040,91.615,90.515,91.200,403300.875
18.09.2009 08:00:00.000 GMT+0800,91.205,91.530,91.025,91.248,412023.8125
19.09.2009 08:00:00.000 GMT+0800,91.248,91.248,91.248,91.248,0
20.09.2009 08:00:00.000 GMT+0800,91.265,91.489,91.252,91.355,31626.9004
21.09.2009 08:00:00.000 GMT+0800,91.355,92.530,91.355,92.030,323098.8125
22.09.2009 08:00:00.000 GMT+0800,92.025,92.025,90.480,90.720,387222.5938
23.09.2009 08:00:00.000 GMT+0800,90.720,91.625,90.670,91.325,465825.2188
24.09.2009 08:00:00.000 GMT+0800,91.325,91.585,90.350,90.830,614762.5
25.09.2009 08:00:00.000 GMT+0800,90.830,91.015,89.510,89.643,563992.3125
26.09.2009 08:00:00.000 GMT+0800,89.643,89.643,89.643,89.643,0
27.09.2009 08:00:00.000 GMT+0800,89.615,89.758,88.220,88.690,35150
28.09.2009 08:00:00.000 GMT+0800,88.690,89.910,88.690,89.905,512849.0313
29.09.2009 08:00:00.000 GMT+0800,89.905,90.365,89.625,90.235,494874.0625
30.09.2009 08:00:00.000 GMT+0800,90.235,90.405,89.355,89.900,511154.25
01.10.2009 08:00:00.000 GMT+0800,89.900,90.170,89.415,89.535,594775.25
02.10.2009 08:00:00.000 GMT+0800,89.535,89.920,88.600,89.765,537615.125
03.10.2009 08:00:00.000 GMT+0800,89.765,89.765,89.765,89.765,0
04.10.2009 08:00:00.000 GMT+0800,89.794,89.914,89.193,89.690,52912.3008
05.10.2009 08:00:00.000 GMT+0800,89.690,89.975,89.405,89.630,450969.8438
06.10.2009 08:00:00.000 GMT+0800,89.630,89.645,88.625,88.830,538779.9375
07.10.2009 08:00:00.000 GMT+0800,88.835,89.385,88.005,88.535,566705.375
08.10.2009 08:00:00.000 GMT+0800,88.535,88.775,88.145,88.755,445719.0938
09.10.2009 08:00:00.000 GMT+0800,88.755,89.880,88.645,89.730,480862.4063
10.10.2009 08:00:00.000 GMT+0800,89.730,89.730,89.730,89.730,0
11.10.2009 08:00:00.000 GMT+0800,89.795,89.950,89.264,89.945,68313.8516
12.10.2009 08:00:00.000 GMT+0800,89.945,90.455,89.615,89.695,346013.25
13.10.2009 08:00:00.000 GMT+0800,89.695,90.185,89.425,89.840,400341.625
14.10.2009 08:00:00.000 GMT+0800,89.840,89.900,88.830,89.395,366523.2813
15.10.2009 08:00:00.000 GMT+0800,89.405,90.985,89.300,90.810,450778.375
16.10.2009 08:00:00.000 GMT+0800,90.810,91.320,90.570,90.926,576909.4375
17.10.2009 08:00:00.000 GMT+0800,90.926,90.926,90.926,90.926,0
18.10.2009 08:00:00.000 GMT+0800,90.865,91.120,90.836,90.900,33506.3906
19.10.2009 08:00:00.000 GMT+0800,90.900,91.050,90.365,90.755,517952.9375
20.10.2009 08:00:00.000 GMT+0800,90.755,91.070,90.075,90.795,567273.8125
21.10.2009 08:00:00.000 GMT+0800,90.795,91.275,90.485,90.860,565818.6875
22.10.2009 08:00:00.000 GMT+0800,90.860,91.710,90.860,91.420,458247.4688
23.10.2009 08:00:00.000 GMT+0800,91.420,92.138,91.360,92.036,491126.8125
24.10.2009 08:00:00.000 GMT+0800,92.036,92.036,92.036,92.036,0
25.10.2009 08:00:00.000 GMT+0800,92.028,92.198,91.791,92.120,79188.7969
26.10.2009 08:00:00.000 GMT+0800,92.120,92.280,91.565,92.215,405843.2188
27.10.2009 08:00:00.000 GMT+0800,92.215,92.320,91.605,91.655,387885.3125
28.10.2009 08:00:00.000 GMT+0800,91.655,91.720,90.545,90.610,489148.1563
29.10.2009 08:00:00.000 GMT+0800,90.610,91.615,90.245,91.510,503327.4375
30.10.2009 08:00:00.000 GMT+0800,91.510,91.520,89.910,90.086,469977.7813
31.10.2009 08:00:00.000 GMT+0800,90.086,90.086,90.086,90.086,0
01.11.2009 08:00:00.000 GMT+0800,90.075,90.088,89.180,89.705,35665.3008
02.11.2009 08:00:00.000 GMT+0800,89.705,90.690,89.700,90.405,467609.1563
03.11.2009 08:00:00.000 GMT+0800,90.405,90.580,89.870,90.430,455809.3125
04.11.2009 08:00:00.000 GMT+0800,90.430,91.310,90.045,90.695,436623.75
05.11.2009 08:00:00.000 GMT+0800,90.695,90.850,89.990,90.795,451942.4063
06.11.2009 08:00:00.000 GMT+0800,90.795,90.805,89.610,89.825,462958.5938
07.11.2009 08:00:00.000 GMT+0800,89.825,89.825,89.825,89.825,0
08.11.2009 08:00:00.000 GMT+0800,89.945,90.005,89.685,89.880,39079.1797
09.11.2009 08:00:00.000 GMT+0800,89.880,90.260,89.730,89.855,404576.875
10.11.2009 08:00:00.000 GMT+0800,89.855,90.180,89.670,89.695,441589.25
11.11.2009 08:00:00.000 GMT+0800,89.695,90.040,89.290,89.930,444103.0938
12.11.2009 08:00:00.000 GMT+0800,89.925,90.610,89.640,90.285,525857.5625
13.11.2009 08:00:00.000 GMT+0800,90.280,90.410,89.460,89.495,459309.2188
14.11.2009 08:00:00.000 GMT+0800,89.495,89.495,89.495,89.495,0
15.11.2009 08:00:00.000 GMT+0800,89.655,89.725,89.398,89.625,56013.6914
16.11.2009 08:00:00.000 GMT+0800,89.625,89.705,88.750,89.020,475901.3125
17.11.2009 08:00:00.000 GMT+0800,89.020,89.535,88.730,89.227,539732.5
18.11.2009 08:00:00.000 GMT+0800,89.232,89.480,89.010,89.385,482862.9375
19.11.2009 08:00:00.000 GMT+0800,89.390,89.430,88.635,88.915,527082.25
20.11.2009 08:00:00.000 GMT+0800,88.915,89.130,88.673,88.675,506064.4063
21.11.2009 08:00:00.000 GMT+0800,88.675,88.675,88.675,88.675,0
22.11.2009 08:00:00.000 GMT+0800,89.008,89.008,88.770,88.865,51644.8984
23.11.2009 08:00:00.000 GMT+0800,88.870,89.190,88.575,88.915,407033
24.11.2009 08:00:00.000 GMT+0800,88.915,88.950,88.350,88.600,457756.9063
25.11.2009 08:00:00.000 GMT+0800,88.600,88.625,87.210,87.335,455115.2813
26.11.2009 08:00:00.000 GMT+0800,87.330,87.480,84.800,85.170,421554.9375
