Local time,Open,High,Low,Close,Volume
11.08.2009 08:00:00.000 GMT+0800,1.08570,1.08645,1.07895,1.08175,242939.0938
12.08.2009 08:00:00.000 GMT+0800,1.08170,1.08460,1.07310,1.07565,259942.5156
13.08.2009 08:00:00.000 GMT+0800,1.07585,1.07645,1.06745,1.07075,234897.25
14.08.2009 08:00:00.000 GMT+0800,1.07075,1.07515,1.06705,1.07178,210259
15.08.2009 08:00:00.000 GMT+0800,1.07178,1.07178,1.07178,1.07178,0
16.08.2009 08:00:00.000 GMT+0800,1.07163,1.07540,1.07155,1.07540,15874.2998
17.08.2009 08:00:00.000 GMT+0800,1.07540,1.08340,1.07445,1.07605,311989.5938
18.08.2009 08:00:00.000 GMT+0800,1.07605,1.08015,1.07255,1.07330,358254.1875
19.08.2009 08:00:00.000 GMT+0800,1.07330,1.07810,1.06225,1.06440,341854.5938
20.08.2009 08:00:00.000 GMT+0800,1.06440,1.06850,1.06185,1.06300,269273
21.08.2009 08:00:00.000 GMT+0800,1.06300,1.06550,1.05530,1.05820,240964.7344
22.08.2009 08:00:00.000 GMT+0800,1.05820,1.05820,1.05820,1.05820,0
23.08.2009 08:00:00.000 GMT+0800,1.05790,1.05812,1.05610,1.05780,13078.2998
24.08.2009 08:00:00.000 GMT+0800,1.05790,1.06300,1.05705,1.06185,253093.0938
25.08.2009 08:00:00.000 GMT+0800,1.06185,1.06410,1.05650,1.06235,288470.8125
26.08.2009 08:00:00.000 GMT+0800,1.06235,1.07145,1.05775,1.06875,312356.8125
27.08.2009 08:00:00.000 GMT+0800,1.06875,1.07040,1.05275,1.05695,312028.0938
28.08.2009 08:00:00.000 GMT+0800,1.05700,1.06180,1.05400,1.05947,288768.5
29.08.2009 08:00:00.000 GMT+0800,1.05947,1.05947,1.05947,1.05947,0
30.08.2009 08:00:00.000 GMT+0800,1.05947,1.06075,1.05813,1.05940,25399.6504
31.08.2009 08:00:00.000 GMT+0800,1.05940,1.06360,1.05555,1.05850,272246.8125
01.09.2009 08:00:00.000 GMT+0800,1.05850,1.07055,1.05430,1.06665,347017.6875
02.09.2009 08:00:00.000 GMT+0800,1.06665,1.06860,1.05810,1.06025,312873.9063
03.09.2009 08:00:00.000 GMT+0800,1.06025,1.06370,1.05450,1.06210,291946
04.09.2009 08:00:00.000 GMT+0800,1.06210,1.06985,1.05780,1.06021,224247.0938
05.09.2009 08:00:00.000 GMT+0800,1.06021,1.06021,1.06021,1.06021,0
06.09.2009 08:00:00.000 GMT+0800,1.05993,1.06134,1.05885,1.05935,31287.0996
07.09.2009 08:00:00.000 GMT+0800,1.05935,1.06060,1.05555,1.05995,185337.4063
08.09.2009 08:00:00.000 GMT+0800,1.05995,1.06030,1.04315,1.04570,285026.5
09.09.2009 08:00:00.000 GMT+0800,1.04570,1.04890,1.03835,1.04160,282493.0938
10.09.2009 08:00:00.000 GMT+0800,1.04160,1.04650,1.03595,1.03835,277311.3125
11.09.2009 08:00:00.000 GMT+0800,1.03840,1.03995,1.03385,1.03820,256498.5938
12.09.2009 08:00:00.000 GMT+0800,1.03820,1.03820,1.03820,1.03820,0
13.09.2009 08:00:00.000 GMT+0800,1.03733,1.03778,1.03510,1.03725,21598.9004
14.09.2009 08:00:00.000 GMT+0800,1.03735,1.04230,1.03230,1.03265,236368.0625
15.09.2009 08:00:00.000 GMT+0800,1.03265,1.04190,1.03250,1.03370,253948.1875
16.09.2009 08:00:00.000 GMT+0800,1.03370,1.03680,1.02970,1.03195,294566.5938
17.09.2009 08:00:00.000 GMT+0800,1.03200,1.03590,1.02740,1.02910,371847.5938
18.09.2009 08:00:00.000 GMT+0800,1.02910,1.03470,1.02755,1.02945,341253.1875
19.09.2009 08:00:00.000 GMT+0800,1.02945,1.02945,1.02945,1.02945,0
20.09.2009 08:00:00.000 GMT+0800,1.02945,1.03130,1.02905,1.02955,25196.8008
21.09.2009 08:00:00.000 GMT+0800,1.02955,1.03890,1.02895,1.03195,337145.375
22.09.2009 08:00:00.000 GMT+0800,1.03195,1.03195,1.01860,1.02215,320485
23.09.2009 08:00:00.000 GMT+0800,1.02235,1.03000,1.01895,1.02695,371969.9063
24.09.2009 08:00:00.000 GMT+0800,1.02695,1.03235,1.02085,1.02970,408895.3125
25.09.2009 08:00:00.000 GMT+0800,1.02970,1.03420,1.02430,1.02733,407711.9063
26.09.2009 08:00:00.000 GMT+0800,1.02733,1.02733,1.02733,1.02733,0
27.09.2009 08:00:00.000 GMT+0800,1.02692,1.02795,1.02495,1.02620,24711.4004
28.09.2009 08:00:00.000 GMT+0800,1.02625,1.03745,1.02620,1.03250,363444.5938
29.09.2009 08:00:00.000 GMT+0800,1.03245,1.04055,1.03125,1.03575,389413.9688
30.09.2009 08:00:00.000 GMT+0800,1.03570,1.04490,1.02825,1.03460,344653.8125
01.10.2009 08:00:00.000 GMT+0800,1.03460,1.04525,1.03370,1.04260,442353.375
02.10.2009 08:00:00.000 GMT+0800,1.04260,1.04370,1.03095,1.03461,404592.1563
